id,valorRatioEmpresa,año,codEmpresa_id,codRatio_id
38,23.831,2009,AAN,RRI
39,15.316,2009,AAN,RDI
40,8.482,2009,AAN,RRCC
41,43.033,2009,AAN,RPMC
42,11.696,2009,AAN,RRCP
43,31.206,2009,AAN,RPMP
44,4.290,2009,AAN,IRAT
45,24.518,2009,AAN,IRAF
46,0.097,2009,AAN,IMB
47,0.006,2009,AAN,IMO
48,1.390,2009,AAN,RC
49,1.129,2009,AAN,RR
50,0.232,2009,AAN,RCT
51,0.079,2009,AAN,RE
52,0.644,2009,AAN,GE
53,0.356,2009,AAN,GP
54,1.982,2009,AAN,RCGF
55,1.810,2009,AAN,REP
56,6.388,2009,AAN,RNP
57,2.243,2009,AAN,RDAC
58,0.523,2009,AAN,RSV
59,10.723,2009,AAN,RSI
60,0.523,2009,AAN,MN
61,4.290,2009,AAN,RDA
62,2.848,2009,AAN,MDC
64,0.022,2009,AAN,ROA
65,0.064,2009,AAN,ROE
66,25.050,2008,UES,RRI
67,14.571,2008,UES,RDI
68,7.436,2008,UES,RRCC
69,49.086,2008,UES,RPMC
70,8.390,2008,UES,RRCP
71,43.507,2008,UES,RPMP
72,3.035,2008,UES,IRAT
73,19.355,2008,UES,IRAF
74,0.155,2008,UES,IMB
75,0.039,2008,UES,IMO
76,26.688,2009,UES,RRI
77,13.677,2009,UES,RDI
78,7.835,2009,UES,RRCC
79,46.585,2009,UES,RPMC
80,11.724,2009,UES,RRCP
81,31.132,2009,UES,RPMP
82,3.961,2009,UES,IRAT
83,20.479,2009,UES,IRAF
84,0.112,2009,UES,IMB
85,0.006,2009,UES,IMO
86,1.249,2008,UES,RC
87,1.096,2008,UES,RR
88,0.122,2008,UES,RCT
89,0.054,2008,UES,RE
90,1.373,2009,UES,RC
91,1.056,2009,UES,RR
92,0.223,2009,UES,RCT
93,0.090,2009,UES,RE
94,0.304,2008,UES,GE
95,0.259,2008,UES,GP
96,8.180,2008,UES,RCGF
97,1.173,2008,UES,REP
98,0.679,2009,UES,GE
99,0.323,2009,UES,GP
100,1.890,2009,UES,RCGF
101,2.101,2009,UES,REP
102,39.010,2008,UES,RNP
103,10.112,2008,UES,RDAC
104,3.332,2008,UES,RSV
105,62.494,2008,UES,RSI
106,7.697,2009,UES,RNP
107,2.210,2009,UES,RDAC
108,0.558,2009,UES,RSV
109,19.244,2009,UES,RSI
110,0.033,2008,UES,MN
111,3.035,2008,UES,RDA
112,3.858,2008,UES,MDC
113,0.390,2008,UES,ROE
114,0.101,2008,UES,ROA
115,0.006,2009,UES,MN
116,3.961,2009,UES,RDA
117,3.482,2009,UES,MDC
118,0.077,2009,UES,ROE
119,0.022,2009,UES,ROA
120,18.887,2008,AAN,RRI
121,19.325,2008,AAN,RDI
122,7.263,2008,AAN,RRCC
123,50.258,2008,AAN,RPMC
124,9.597,2008,AAN,RRCP
125,38.031,2008,AAN,RPMP
126,3.744,2008,AAN,IRAT
127,21.201,2008,AAN,IRAF
128,0.141,2008,AAN,IMB
129,0.040,2008,AAN,IMO
130,1.394,2008,AAN,RC
131,1.106,2008,AAN,RR
132,0.233,2008,AAN,RCT
133,0.072,2008,AAN,RE
134,0.654,2008,AAN,GE
135,0.346,2008,AAN,GP
136,7.539,2008,AAN,RCGF
137,1.890,2008,AAN,REP
138,29.330,2008,AAN,RNP
139,10.150,2008,AAN,RDAC
140,2.711,2008,AAN,RSV
141,16.425,2008,AAN,RSI
142,0.027,2008,AAN,MN
143,3.744,2008,AAN,RDA
144,2.890,2008,AAN,MDC
145,0.293,2008,AAN,ROE
146,0.102,2008,AAN,ROA
